Borough,Block,Lot,BIN, Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*
Bronx,2738.0,35.0,2005938.0,Bridges Juvenile Center Intake and Admissions,ACS,Not Available,28.7,0.8,Not Available,8.1,0.2
Bronx,2837.0,11.0,2008017.0,Mid Bronx Early Childhood Center Inc. (Leased),ACS,Not Available,203.3,6.5,Not Available,210.9,6.7
Bronx,2861.0,129.0,2109470.0,Babove Worldwide Institute Inc.,ACS,Not Available,160.7,5.1,Not Available,123.2,4.3
Bronx,2877.0,522.0,2008966.0,Lutheran Social Services of NY (Leased),ACS,Not Available,272.9,7.2,Not Available,211.3,5.6
Bronx,2888.0,21.0,2009316.0,Labor Bathgate Day Care Center (Leased),ACS,Not Available,236.1,6.1,Not Available,184,4.9
Bronx,2939.0,90.0,2009866.0,East Tremont-Crotona Day Care Center (Leased),ACS,Not Available,150.2,5.1,Not Available,128.7,4.5
Bronx,3044.0,24.0,2011440.0,Trabajamos Community Head Start Inc. (Leased),ACS,Not Available,260.8,6.8,Not Available,256.9,6.8
Bronx,3089.0,24.0,2012517.0,Belmont Community Day Care Center (Leased),ACS,Not Available,204,5.3,Not Available,207.7,5.5
Bronx,3125.0,1.0,2013174.0,Cardinal Day Care Center #2 (Leased),ACS,Not Available,108.1,2.8,Not Available,118.7,3.1
Bronx,3178.0,32.0,2013953.0,Morris Day Care/Senior Center/Steven Soles Day Care Center (Leased),ACS,Not Available,195.2,5.2,Not Available,192.7,5.2
Bronx,3217.0,60.0,2014731.0,University Heights Day Care Center (Leased),ACS,Not Available,62.2,1.6,Not Available,47.3,1.2
Bronx,3732.0,39.0,2023653.0,H.G. Birch Watson Day Care Center (Leased),ACS,Not Available,131.4,3.5,Not Available,171.4,6.7
Bronx,3736.0,1.0,2023714.0,Tremont Crotona Day Care Center (Leased),ACS,Not Available,126.4,3.3,Not Available,172.6,4.6
Bronx,3748.0,15.0,2024083.0,Bronxdale Tenants League DDC Inc. (Leased),ACS,Not Available,103.3,2.8,Not Available,126.8,3.5
Bronx,4101.0,1.0,2044743.0,ACS Bronx Field Office (Leased),ACS,7,316.2,8.9,21,243.1,6.9
Bronx,4651.0,44.0,2057523.0,Williamsbridge NAACP Early EEC (Leased),ACS,Not Available,146.1,4,Not Available,122.2,3.4
