Borough,Block,Lot,BIN, Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*
Queens,11900.0,2.0,4459553.0,Jamaica WPCP Campus: 130th Pl,DEP,6,800.9,22.9,14,644.7,19.3
Queens,16162.0,120.0,4303723.0,Rockaway WPCP Campus: BIN 4303723,DEP,53,1033.9,29.7,50,928.7,26.8
Staten Island,185.0,400.0,5156442.0,Port Richmond WPCP Campus: BIN 5156442,DEP,67,687.2,19.9,59,789.9,24
Staten Island,215.0,46.0,5106681.0,R-2 Water and Sewer Maintenance Yard,DEP,Not Available,146.6,4.9,Not Available,171.2,6
Staten Island,5067.0,500.0,5156492.0,Oakwood Beach WPCP Campus: BIN 5156492,DEP,13,795.9,25.5,25,648.4,19.6
Manhattan,472.0,7501.0,1075959.0,CPC Open Door Senior Center,DFTA,Not Available,192.9,5.4,Not Available,167.5,5.1
Manhattan,1680.0,45.0,1074278.0,Leonardo Coverio Senior Center,DFTA,Not Available,121.9,5,Not Available,147.1,5.9
Brooklyn,1212.0,6.0,3030302.0,Fort Greene Grant Square Senior Center (Leased),DFTA,Not Available,309.2,8.1,Not Available,383.7,10.2
Brooklyn,4140.0,13.0,3092631.0,Cypress Hills Senior Center (Leased),DFTA,Not Available,337.6,8.8,Not Available,257,6.8
Brooklyn,6642.0,45.0,3176314.0,Council Center for Senior Citizens (Leased),DFTA,13,322.9,8.6,Not Available,385.1,10.3
Manhattan,111.0,150.0,1083359.0,Life Family Shelter,DHS,Not Available,172.1,7.1,Not Available,151.6,6.1
Manhattan,372.0,14.0,1004357.0,Shelter,DHS,Not Available,352,11.3,Not Available,254.3,9
Manhattan,387.0,49.0,1004651.0,George Daly House Residence,DHS,Not Available,147.9,5.3,Not Available,144.2,5.4
Manhattan,457.0,7.0,1006537.0,Palace Employment Residence,DHS,Not Available,126.4,3.3,Not Available,104.1,2.8
Manhattan,458.0,4.0,1079828.0,Kenton Hotel Shelter,DHS,Not Available,266.1,9,Not Available,226.8,8.1
Manhattan,458.0,11.0,1006546.0,Manhattan Bowery Shelter,DHS,Not Available,211.6,5.7,Not Available,415.6,21.9
Manhattan,529.0,15.0,1008425.0,SCCW Central Shelter,DHS,Not Available,180.3,5.3,Not Available,160.9,4.9
Manhattan,962.0,97.0,1087298.0,Bellevue Men's Shelter,DHS,Not Available,238.9,14.4,Not Available,220.3,10.4
Manhattan,1319.0,11.0,1037587.0,New Providence SRO (Single Room Occupancy) Residence,DHS,Not Available,332.5,11.2,Not Available,320.3,10.6
Manhattan,1628.0,24.0,1051796.0,Jennie A. Clarke Residence Campus: Jennie A. Clarke Residence,DHS,Not Available,398,16.5,Not Available,460.7,19.3
Manhattan,1745.0,5.0,1076434.0,East 119th Street Veterans Residence,DHS,Not Available,221.2,8,Not Available,215.9,8.1
Manhattan,1876.0,20.0,1056586.0,Regent Hotel Shelter,DHS,Not Available,168.4,7,Not Available,194.1,8.6
Manhattan,2105.0,1.0,1076737.0,Harlem 1 Men's Shelter,DHS,Not Available,159.7,4.1,Not Available,380.2,20.3
Manhattan,2138.0,79.0,1063381.0,Fort Washington Armory-Shelter (Project Renewal),DHS,Not Available,188.9,6.6,Not Available,199.9,7.1
Bronx,2353.0,57.0,2088140.0,Emergency Assistance Unit (EAU),DHS,Not Available,0,0,Not Available,317,9
Bronx,2425.0,20.0,2102353.0,Webster Avenue SRO,DHS,Not Available,89.9,3.1,Not Available,78.3,2.8
Bronx,2527.0,14.0,2003496.0,University Avenue Family Residences,DHS,Not Available,139.6,5.7,Not Available,134.1,5.6
Bronx,2567.0,13.0,2003811.0,Jackson Family Residence,DHS,Not Available,82,2.1,Not Available,162.9,6.2
Bronx,2572.0,6.0,2091301.0,Transitional Housing Office,DHS,32,276,8.7,75,166,6.3
Bronx,2587.0,1.0,2003989.0,Willow Avenue Shelter Campus: Willow Avenue Men's Shelter,DHS,Not Available,68.5,1.8,Not Available,63.6,1.7
Bronx,2587.0,1.0,2003989.0,Willow Avenue Shelter Campus: Willow Avenue Men's Shelter,DHS,Not Available,68.5,1.8,Not Available,63.6,1.7
Manhattan,387.0,1.0,1004627.0,M064,DOE,62,119.6,4.7,57,113.8,4.5
Bronx,2613.0,1.0,2004260.0,Franklin Women's Shelter,DHS,Not Available,216.1,8.5,Not Available,199.1,7.9
Bronx,2761.0,43.0,2006338.0,Seneca Houses Residence,DHS,Not Available,180.1,7.3,Not Available,221,9.2
Bronx,2865.0,49.0,2090448.0,Mount Eden Avenue SRO (Single Room Occupancy) Residence,DHS,Not Available,223.6,8.1,Not Available,211.3,7.7
Bronx,3007.0,1.0,2010906.0,Freeman Houses Residence,DHS,Not Available,205.9,8.8,Not Available,236,10.3
Bronx,3752.0,13.0,2088552.0,Commonwealth Avenue SRO (Single Room Occupancy) Residence,DHS,Not Available,211.7,7.5,Not Available,222.1,7.9
Brooklyn,1102.0,12.0,3026581.0,Park Slope Armory Shelter,DHS,Not Available,184,9,Not Available,173,8.9
Brooklyn,1199.0,15.0,3029748.0,Atlantic Avenue Men's Shelter (Armory),DHS,Not Available,176.1,6.6,Not Available,197.2,8.4
Brooklyn,1472.0,1.0,3319475.0,East New York Avenue SRO (Single Room Occupancy) Residence,DHS,Not Available,222.3,8.1,Not Available,193.2,6.8
Brooklyn,1649.0,1.0,3045367.0,Pamoja House Shelter,DHS,Not Available,35.2,1,Not Available,84.6,4.8
Brooklyn,1967.0,68.0,3056327.0,BRC Women's Shelter,DHS,Not Available,374.3,10.3,Not Available,317.6,8.5
Brooklyn,2885.0,1.0,3338306.0,Barbara Kleinman Residence Campus: Barbara Kleinman Residence,DHS,Not Available,Not Available,Not Available,Not Available,123.2,3.8
Brooklyn,3243.0,44.0,3073772.0,Stockholm Street Family Residence,DHS,Not Available,342.2,14,Not Available,367.4,15.3
Brooklyn,3426.0,5.0,3319581.0,Bushwick Family Residence,DHS,Not Available,424.3,15.6,Not Available,416.2,15.6
Brooklyn,3583.0,6.0,3082035.0,Fannie Barnes (Urban Transitional Housing),DHS,Not Available,93.5,4.2,Not Available,66.8,3.1
Brooklyn,3699.0,1.0,3083637.0,HELP Women's Center Shelter,DHS,Not Available,364.3,15.6,Not Available,244.7,10.1
Brooklyn,3844.0,1.0,3085646.0,Linden Family Residence,DHS,Not Available,415.2,16.1,Not Available,472.4,18.1
Brooklyn,3871.0,101.0,3332519.0,Flatlands Avenue Residence,DHS,Not Available,470.3,16.7,Not Available,487.5,17.3
Brooklyn,4077.0,24.0,3090429.0,Rose McCarthy Family Residence Campus: Rose McCarthy Family Residence,DHS,Not Available,69.2,2.6,Not Available,154.8,6.5
Brooklyn,4077.0,28.0,3090430.0,Rose McCarthy Family Residence Campus: Rose McCarthy Family Residence,DHS,Not Available,69.2,2.6,Not Available,154.8,6.5
Brooklyn,4258.0,36.0,3095610.0,Samaritan Forbell Residence,DHS,Not Available,516.3,13.4,Not Available,469.6,12.4
Brooklyn,4833.0,1.0,3337083.0,Kingsboro MICA 8 Shelter,DHS,Not Available,19.2,0.5,Not Available,42.4,1.8
Queens,68.0,2.0,4000526.0,Borden Avenue Shelter,DHS,Not Available,334.2,11.4,Not Available,374.8,13.4
Queens,9662.0,20.0,4314908.0,Briarwood Residence,DHS,Not Available,202.1,7.3,Not Available,258,9.8
Queens,9833.0,4.0,4448804.0,Jamaica Arms Hotel / Family Respite Residence,DHS,Not Available,260.8,10.8,Not Available,279.3,12.5
Queens,13307.0,91.0,4430508.0,Springfield Family Residence,DHS,Not Available,438.9,16.5,Not Available,449.6,16.6
Manhattan,167.0,1.0,1088394.0,"Manhattan House Detention, South Tower",DOC,Not Available,193.4,6.6,Not Available,174.2,5.9
Manhattan,198.0,1.0,1002364.0,"Manhattan House Detention, North Tower",DOC,Not Available,196.3,6.8,Not Available,176.8,6
Bronx,2605.0,40.0,0.0,Rikers Island AMKC Campus: Buildings 3&4,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
Bronx,2605.0,40.0,0.0,Rikers Island AMKC Campus: Hart Island Module / S1,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
Bronx,2605.0,40.0,0.0,Rikers Island AMKC Campus: Module 1,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
Bronx,2605.0,40.0,0.0,Rikers Island AMKC Campus: Modules DD/(6),DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
Bronx,2605.0,40.0,0.0,Rikers Island AMKC Campus: Modules OO & PP/ (11&12),DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
Bronx,2605.0,40.0,0.0,Rikers Island AMKC Campus: Modules WW & XX/ (7&8),DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
Bronx,2605.0,40.0,0.0,Rikers Island AMKC Campus: Pantry Buildings 1&2,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
Bronx,2605.0,40.0,0.0,Rikers Island AMKC Campus: Pantry Buildings 3&4,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
Bronx,2605.0,40.0,0.0,Rikers Island AMKC Campus: Pantry Buildings 5,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
Bronx,2605.0,40.0,2109476.0,Rikers Island AMKC Campus: Rikers Island AMKC Campus: AMKC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6
Bronx,2605.0,40.0,0.0,Rikers Island Bakery,DOC,Not Available,344.9,12.7,Not Available,570.5,28.6
Bronx,2605.0,40.0,0.0,Rikers Island Division 1 Storehouse,DOC,Not Available,344.9,12.7,1,391.5,15.4
Bronx,2605.0,40.0,0.0,Rikers Island EMTC Campus: Locker Room,DOC,Not Available,344.9,12.7,Not Available,391.8,15.5
Bronx,2605.0,40.0,2116651.0,Rikers Island EMTC Campus: Rikers Island EMTC Campus: EMTC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,391.8,15.5
Bronx,2605.0,40.0,0.0,Rikers Island EMTC Campus: Sprung 1 (HIIP),DOC,Not Available,344.9,12.7,Not Available,391.8,15.5
Bronx,2605.0,40.0,0.0,Rikers Island GMDC Campus: East Sprungs & WS,DOC,Not Available,344.9,12.7,Not Available,429,16.5
Bronx,2605.0,40.0,2097042.0,Rikers Island GMDC Campus: Rikers Island GMDC Campus: GMDC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,429,16.5
Bronx,2605.0,40.0,0.0,"Rikers Island GMDC Campus: Rikers Island GMDC Campus: GMDC MODS 4,5,8,9,10,11,12,13",DOC,Not Available,344.9,12.7,Not Available,429,16.5
Bronx,2605.0,40.0,0.0,"Rikers Island GMDC Campus: Rikers Island GMDC Campus: MODS 14,15,16,LL,N,QQ,RR",DOC,Not Available,344.9,12.7,Not Available,429,16.5
Bronx,2605.0,40.0,0.0,Rikers Island GMDC Campus: Rikers Island GMDC Campus: West Sprungs,DOC,Not Available,344.9,12.7,Not Available,429,16.5
Bronx,2605.0,40.0,2096863.0,Rikers Island GRVC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,539.3,19.4
Bronx,2605.0,40.0,0.0,Rikers Island JATC Campus: Rikers Island JATC Campus: JATC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,392.1,15.5
Bronx,2605.0,40.0,0.0,Rikers Island Laundry Facility,DOC,Not Available,344.9,12.7,Not Available,390,15.4
Bronx,2605.0,40.0,0.0,Rikers Island New Central Warehouse,DOC,Not Available,344.9,12.7,1,390.3,15.4
Bronx,2605.0,40.0,0.0,Rikers Island NIC Campus: Rikers Island NIC Campus: North Infirmary Command (NIC),DOC,Not Available,344.9,12.7,Not Available,391.6,15.5
Bronx,2605.0,40.0,0.0,Rikers Island OBCC Campus: Rikers Island OBCC Campus: 300 Bed Annex,DOC,Not Available,344.9,12.7,Not Available,392.6,15.5
Bronx,2605.0,40.0,0.0,Rikers Island OBCC Campus: Rikers Island OBCC Campus: CPSU 500 Bed Annex,DOC,Not Available,344.9,12.7,Not Available,392.6,15.5
Bronx,2605.0,40.0,0.0,Rikers Island OBCC Campus: Rikers Island OBCC Campus: Main Building,DOC,Not Available,344.9,12.7,Not Available,392.6,15.5
Bronx,2605.0,40.0,2116652.0,Rikers Island Powerhouse,DOC,Not Available,344.9,12.7,Not Available,391.5,15.5
Bronx,2605.0,40.0,0.0,Rikers Island RMSC Campus: Rikers Island RMSC Campus: 800 Bed Addition,DOC,Not Available,344.9,12.7,Not Available,480.1,17.8
Bronx,2605.0,40.0,0.0,Rikers Island RMSC Campus: Rikers Island RMSC Campus: Dorms 17-20,DOC,Not Available,344.9,12.7,Not Available,480.1,17.8
Bronx,2605.0,40.0,2109477.0,Rikers Island RMSC Campus: RMSC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,480.1,17.8
Bronx,2605.0,40.0,0.0,"Rikers Island RNDC Campus: Rikers Island RNDC Campus: Mods 2,4,10",DOC,Not Available,344.9,12.7,Not Available,399.5,15.7
Bronx,2605.0,40.0,2109479.0,Rikers Island RNDC Campus: Rikers Island RNDC Campus: RNDC Detention Facility,DOC,Not Available,344.9,12.7,Not Available,399.5,15.7
Bronx,2605.0,40.0,0.0,"Rikers Island RNDC Campus: Rikers Island RNDC Campus: Sprungs, MOD 3",DOC,Not Available,344.9,12.7,Not Available,399.5,15.7
Bronx,2605.0,40.0,2000000.0,Rikers Island Telecom / SOD / COD,DOC,Not Available,344.9,12.7,Not Available,392.4,15.5
Bronx,2605.0,40.0,0.0,Rikers Island Transportation Garage,DOC,Not Available,344.9,12.7,Not Available,391.3,15.5
Bronx,2605.0,40.0,0.0,Rikers Island West Facility Campus: 200 Bed Modules,DOC,Not Available,344.9,12.7,Not Available,2483.6,70.8
Bronx,2605.0,40.0,2109475.0,Rikers Island West Facility Campus: Rikers Island West Facility Campus: WF Detention Facility,DOC,Not Available,344.9,12.7,Not Available,2483.6,70.8
Brooklyn,175.0,1.0,3000605.0,Brooklyn House of Detention #129,DOC,Not Available,412.3,15.4,Not Available,540.5,20.5
Queens,9653.0,1.0,4458616.0,BIN 4458616,DOC,Not Available,60,2.8,Not Available,55.2,2.6
Queens,9653.0,1.0,4458617.0,Queens Detention Complex (BIN 4458617),DOC,Not Available,56.1,2.6,Not Available,52.5,2.4
Manhattan,16.0,40.0,1087945.0,M276,DOE,Not Available,Not Available,Not Available,12,242.7,7.7
Manhattan,16.0,215.0,1084587.0,M477,DOE,47,201.2,6,39,203.9,6.3
Manhattan,16.0,220.0,1085459.0,M089,DOE,34,155.5,4.9,45,158.2,5.3
Manhattan,23.0,13.0,1000811.0,M282,DOE,100,24.7,0.6,63,130.1,3.4
Manhattan,51.0,15.0,1001035.0,M894,DOE,24,169.8,11.2,23,157.5,7.9
Manhattan,52.0,1.0,1001037.0,M833,DOE,16,218.1,11.2,16,201.9,7.8
Manhattan,100.0,7502.0,1087485.0,M971 (Leased),DOE,Not Available,Not Available,0,1,394,10.4
Manhattan,111.0,160.0,1083357.0,M126,DOE,81,110.8,4.8,94,84.7,3.2
Manhattan,113.0,100.0,1001388.0,M520,DOE,8,271.3,13.5,24,225.7,8.4
Manhattan,142.0,1.0,1001533.0,M234,DOE,70,134.2,5.2,51,159.1,6.4
Manhattan,142.0,25.0,1083240.0,M840,DOE,51,260.9,6.8,71,215.2,5.7
Manhattan,236.0,38.0,1003086.0,M130,DOE,66,144.3,4.8,63,147.6,5.3
Manhattan,245.0,7.0,1003143.0,M137,DOE,96,85.7,3.2,93,94,3.6
Manhattan,259.0,44.0,1003214.0,M446,DOE,97,68.6,2.5,96,74.5,3.1
Manhattan,269.0,41.0,1003223.0,M056,DOE,97,79.3,3.4,95,80,3.1
Manhattan,273.0,1.0,1003248.0,M002,DOE,88,103.2,4.6,94,88.5,3.4
Manhattan,279.0,40.0,1003375.0,M001,DOE,83,116.6,4.3,78,124.6,4.9
Manhattan,288.0,15.0,1003736.0,M134,DOE,73,114.2,4.8,90,100.9,3.9
Manhattan,289.0,1.0,1075787.0,M124,DOE,68,130.3,5.3,51,138.7,6
Manhattan,301.0,3.0,1082489.0,M131,DOE,90,117.5,4.7,82,129.1,5.4
Manhattan,309.0,1.0,1003998.0,M042,DOE,68,118.7,4.2,81,124,4.7
Manhattan,325.0,25.0,1004062.0,M097,DOE,44,97.3,3.7,76,95.3,3.8
Manhattan,331.0,140.0,1004066.0,M110,DOE,97,91.1,3.2,97,90.3,3.7
Manhattan,335.0,1.0,1004070.0,M022,DOE,63,130.1,6.1,88,89.9,3.2
Manhattan,343.0,1.0,1004080.0,M142,DOE,94,80.5,3.3,85,99.9,4.7
Manhattan,344.0,1.0,1004091.0,M140,DOE,85,84.8,3.9,73,99.2,5
Manhattan,354.0,80.0,1004323.0,M025,DOE,95,98.9,2.6,86,117.6,4.7
Manhattan,355.0,1.0,1004325.0,M020,DOE,97,76.8,3.3,98,74.3,3.1
Manhattan,356.0,100.0,1004349.0,M188,DOE,81,88,3.3,80,88.1,3.4
Manhattan,394.0,12.0,1079053.0,M061,DOE,54,134.6,5.5,46,144.1,5.9
Manhattan,408.0,30.0,1005283.0,"M445 within (M445, M447)",DOE,87,109.2,5.7,83,114.5,5
Manhattan,422.0,72.0,1005626.0,M510,DOE,84,116.9,4,83,111.7,4.4
Manhattan,431.0,14.0,1005760.0,M063,DOE,77,90.6,3.5,97,66.5,2.4
Manhattan,439.0,17.0,1005974.0,M060,DOE,62,139.5,7.6,68,129.8,7.2
Manhattan,446.0,20.0,1006208.0,M751,DOE,81,121.4,4.5,71,129.2,5.2
Manhattan,453.0,34.0,1006478.0,M019,DOE,91,89.2,3.7,80,109,5.3
Manhattan,491.0,16.0,1007378.0,M615,DOE,96,103.7,3.5,96,95.5,3.4
Manhattan,577.0,19.0,1009713.0,M883,DOE,17,131.3,3.9,77,122.1,3.8
Manhattan,581.0,54.0,1086648.0,M641,DOE,57,127.3,4.6,57,116.6,4.6
Manhattan,585.0,41.0,1009872.0,M003,DOE,86,65.6,2.7,59,90.9,4.1
Manhattan,606.0,49.0,1010543.0,M041,DOE,98,70.1,1.9,93,87.5,3.8
Manhattan,724.0,23.0,1012829.0,M033,DOE,33,165.7,6.3,51,141.1,5.5
Manhattan,741.0,10.0,1079152.0,M070,DOE,97,68.6,1.8,81,100.3,5
Manhattan,742.0,7.0,1013096.0,M440,DOE,81,118.2,4.7,78,122.7,4.9
Manhattan,744.0,24.0,1013260.0,M011,DOE,80,108.2,5.5,65,124.8,6.8
Manhattan,767.0,68.0,1013858.0,M451,DOE,26,172.7,5.2,16,177,5.8
Manhattan,774.0,19.0,1014174.0,M600,DOE,91,100,5.6,92,97.5,4.3
Manhattan,804.0,1.0,1015097.0,M882,DOE,100,72.5,1.9,100,69.2,1.8
Manhattan,805.0,17.0,1015148.0,M920,DOE,63,281.4,9.9,71,230.1,7.9
Manhattan,824.0,15.0,1080668.0,M873,DOE,58,143.4,3.7,53,139.5,3.7
Manhattan,848.0,7502.0,1016163.0,M905,DOE,100,44.1,1.1,100,33.9,0.9
Manhattan,855.0,16.0,1016745.0,M874,DOE,84,106.9,2.8,69,119.3,3.2
Manhattan,872.0,57.0,1017828.0,M460,DOE,96,100.2,5.6,92,112.8,5.2
Manhattan,878.0,16.0,1018014.0,M660,DOE,81,135.4,5.3,77,136.9,5.6
Manhattan,889.0,1.0,1018491.0,M620,DOE,39,196.6,9,43,177.3,6.7
Manhattan,904.0,24.0,1019775.0,M047,DOE,51,156.6,7,49,149.9,5.7
Manhattan,913.0,7.0,1020080.0,M116,DOE,91,102.2,4.8,90,103.9,5
Manhattan,921.0,64.0,1020416.0,M661,DOE,79,182,8.5,89,158.9,5.9
Manhattan,922.0,8.0,1020419.0,M475,DOE,86,109.3,5.7,71,125.3,5.5
Manhattan,925.0,12.0,1020513.0,M040,DOE,74,104.9,5.1,67,113.1,4.7
Manhattan,926.0,1.0,1081671.0,M104,DOE,84,78.2,3.4,97,75,2.9
Manhattan,955.0,1.0,1022052.0,M844,DOE,60,156.8,6.5,76,131.1,4.8
Manhattan,967.0,2.0,1089385.0,M281,DOE,Not Available,Not Available,Not Available,21,193.9,6.4
Manhattan,996.0,21.0,1022615.0,M896,DOE,98,91.6,2.6,86,135.3,4.5
Manhattan,998.0,41.0,1069583.0,M486,DOE,34,216.5,8.4,36,199.6,7.1
Manhattan,1029.0,43.0,1024906.0,M832 (closed),DOE,Not Available,Not Available,4.8,Not Available,Not Available,0
Manhattan,1038.0,14.0,1025092.0,M017,DOE,93,90.1,3.4,91,95.1,3.7
Manhattan,1043.0,22.0,1025241.0,M058,DOE,97,115.7,5,93,130.9,4.8
Manhattan,1059.0,15.0,1026646.0,M625,DOE,100,80.6,3.6,100,81.1,3.7
Manhattan,1062.0,3.0,1026740.0,M111,DOE,60,110.7,5.8,71,100.2,3.9
Manhattan,1065.0,1.0,1026841.0,M834,DOE,43,164.9,5,54,138.3,4.6
Manhattan,1073.0,1.0,1083785.0,M051,DOE,93,111.9,4.2,100,17.3,0.6
Manhattan,1073.0,14.0,1089418.0,M338,DOE,Not Available,Not Available,Not Available,26,182,5.3
Manhattan,1079.0,29.0,1083802.0,M535,DOE,48,143.7,6.8,90,121.5,5.7
Manhattan,1148.0,14.0,1030178.0,M044,DOE,69,78.2,3.5,87,89.5,4.6
Manhattan,1149.0,7.0,1030196.0,M087,DOE,89,83,4.2,91,79,4.1
Manhattan,1152.0,29.0,1030320.0,M191,DOE,88,99.4,4.7,84,106.3,5.5
Manhattan,1154.0,108.0,1030328.0,M837 (Leased),DOE,43,222.8,6.9,55,190.9,5.8
Manhattan,1156.0,30.0,1030341.0,M485,DOE,73,155.2,7.2,77,139,5.3
Manhattan,1157.0,25.0,1030343.0,M490,DOE,46,194.3,7.8,56,167.8,5.8
Manhattan,1158.0,40.0,1030351.0,M199,DOE,86,95.2,4.7,72,113.6,4.7
Manhattan,1205.0,6.0,1081042.0,M084,DOE,66,102.2,5,82,85.5,4.4
Manhattan,1214.0,29.0,1032119.0,M009,DOE,93,88.6,4.2,92,93.9,5.1
Manhattan,1215.0,1.0,1032128.0,M470,DOE,74,139.3,5.3,82,117.8,5.2
Manhattan,1219.0,47.0,1032308.0,M166,DOE,55,127.5,11.6,53,129,11.8
Manhattan,1223.0,5.0,1032522.0,M118,DOE,73,125.8,6.7,68,131.9,7.3
Manhattan,1230.0,1.0,1032754.0,M841,DOE,6,171,7.4,43,180.6,8.1
Manhattan,1253.0,65.0,1034190.0,M075,DOE,70,122.9,6.1,72,119.1,6.2
Manhattan,1330.0,13.0,1038593.0,M488,DOE,Not Available,Not Available,Not Available,37,197.3,6
Manhattan,1330.0,13.0,1038593.0,M630 (closed),DOE,93,84.1,4.3,Not Available,Not Available,0
Manhattan,1373.0,1.0,1084848.0,M271,DOE,8,230.2,6.1,14,207.5,5.6
Manhattan,1418.0,7.0,1087680.0,M267,DOE,6,292,11.2,11,268.1,9.7
Manhattan,1430.0,5.0,1044058.0,M167,DOE,70,81.7,4,95,68,3.3
Manhattan,1442.0,1.0,1083343.0,M480,DOE,94,108.2,5.9,97,91.8,4.1
Manhattan,1461.0,7.0,1045569.0,"M183 within (M183, M390)",DOE,87,108,4.7,84,112.2,5.1
Manhattan,1471.0,5.0,1045949.0,M855,DOE,25,226.4,6.4,37,188.5,5.6
Manhattan,1489.0,1.0,1046411.0,M158,DOE,97,104.9,3.7,96,108,4.1
Manhattan,1493.0,21.0,1046668.0,M006,DOE,56,137.6,6.8,82,108.5,4.3
Manhattan,1516.0,7502.0,1048043.0,M169,DOE,9,262.5,6.8,20,262.3,6.9
Manhattan,1524.0,23.0,1048492.0,M198,DOE,76,118,5.9,94,82.5,4.1
Manhattan,1545.0,5.0,1049876.0,M190,DOE,96,104.8,3.8,97,102,3.8
Manhattan,1554.0,15.0,1050217.0,M816,DOE,100,29.8,0.8,90,94.9,5.6
Manhattan,1554.0,23.0,1087665.0,M114,DOE,61,184.7,5,14,267.1,8.2
Manhattan,1558.0,34.0,1050338.0,M646,DOE,43,170,6.1,56,143.9,5.4
Manhattan,1568.0,8.0,1050618.0,M066,DOE,79,114.9,3.9,88,98.4,3.6
Manhattan,1595.0,15.0,1051410.0,"M185 within (M185, M208)",DOE,97,53.1,2.3,78,102.3,5
Manhattan,1595.0,15.0,1051410.0,"M208 within (M185, M208)",DOE,97,53.1,2.3,78,102.3,5
Manhattan,1601.0,1.0,1051434.0,"M149 within (M149, M207)",DOE,31,142.8,6.4,27,147.2,6.5
Manhattan,1601.0,1.0,1051434.0,"M207 within (M149, M207)",DOE,31,142.8,6.4,27,147.2,6.5
Manhattan,1609.0,7.0,1051497.0,M171,DOE,70,110.8,4.3,70,110.8,4.6
Manhattan,1612.0,50.0,1051515.0,M013,DOE,84,96.2,4.8,80,101.1,5
Manhattan,1614.0,21.0,1051584.0,M108,DOE,60,76.1,3.6,82,89.1,4.9
Manhattan,1632.0,11.0,1081340.0,M072,DOE,74,113.8,4.5,83,100.5,4.4
Manhattan,1634.0,65.0,1052058.0,M895,DOE,30,114,3,85,114.4,3
Manhattan,1639.0,3.0,1081346.0,M101,DOE,40,109.6,5.6,65,122,6.1
Manhattan,1640.0,139.0,1083184.0,M057,DOE,14,168.4,7,71,134.5,4.9
Manhattan,1652.0,16.0,1052384.0,M121,DOE,85,111,4.1,74,129.8,4.8
Manhattan,1654.0,33.0,1075643.0,M495,DOE,84,100.5,4.5,96,78.3,3.1
Manhattan,1656.0,100.0,1052433.0,M117,DOE,70,131.1,6.6,66,130.2,6.9
Manhattan,1659.0,12.0,1052436.0,M083,DOE,56,122.6,6,62,114.9,6.1
Manhattan,1668.0,1.0,1083927.0,M645,DOE,89,76.4,3.2,79,84.9,4.2
Manhattan,1684.0,101.0,1081366.0,M102,DOE,53,121.1,6.7,41,134.5,7.9
Manhattan,1689.0,5.0,1052986.0,M155,DOE,76,105.9,5.5,75,107.2,6
Manhattan,1693.0,1.0,1052998.0,M099,DOE,77,123,4.7,69,132.4,5.3
Manhattan,1694.0,1.0,1083933.0,M050,DOE,49,135.9,5,75,105,3.1
Manhattan,1700.0,1.0,1052999.0,M146,DOE,62,105.4,4.9,54,113.7,5.5
Manhattan,1713.0,1.0,1053152.0,M435,DOE,94,85.5,3.5,91,91.7,3.8
Manhattan,1733.0,17.0,1076433.0,M197,DOE,70,91.5,3.2,92,87.8,3.2
Manhattan,1747.0,1.0,1053968.0,M079,DOE,83,97,4.3,87,93.7,4.5
Manhattan,1752.0,22.0,1054156.0,M501,DOE,87,109.4,5.1,82,109.7,5
Manhattan,1752.0,59.0,1054159.0,M911,DOE,67,119.3,5.2,52,129.1,6.2
Manhattan,1755.0,1.0,1054276.0,M133,DOE,70,120.9,6.3,61,133.2,7.6
Manhattan,1768.0,21.0,1083501.0,M007,DOE,45,147.9,7.7,49,142.7,7.3
Manhattan,1776.0,20.0,1054502.0,M030,DOE,55,123.1,4.3,68,118.7,4.2
Manhattan,1784.0,12.0,1074333.0,M096,DOE,76,104.9,4.3,80,98.6,4.8
Manhattan,1797.0,100.0,1054786.0,M045,DOE,70,96.8,3.3,97,101.6,3.8
Manhattan,1816.0,1.0,1084005.0,"M112 within (M112, M206)",DOE,71,108.5,4.6,84,90.8,3.8
Manhattan,1816.0,1.0,1084005.0,"M206 within (M112, M206)",DOE,71,108.5,4.6,84,90.8,3.8
Manhattan,1828.0,15.0,1055111.0,M113,DOE,29,141.2,7.3,51,141.2,7.2
Manhattan,1830.0,19.0,1055204.0,M088,DOE,53,158.2,6.4,38,169.1,7
Manhattan,1850.0,2.0,1055890.0,M036,DOE,41,170.8,8.5,63,124,4.7
Manhattan,1852.0,99.0,1055908.0,"M163 within (M163, M919)",DOE,82,106.8,5.1,80,110,5.1
