Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²) †,2011 Rating * ,2011 Source EUI (kBtu/sq.ft.),2011 GHG Emissions Intensity (kgCO2e/ft²) †,2012 Rating *,2012 Source EUI (kBtu/sq.ft.),2012 GHG Emissions Intensity (kgCO2e/ft²) †,2013 Rating *,2013 Source EUI (kBtu/sq.ft.),2013 GHG Emissions Intensity (kgCO2e/ft²) †
Manhattan,154.0,23.0,1078613.0,City Planning Building,DCAS, 56 , 222.4 ,7.2,63,202.3,6.5,67, 190.5 , 5.9 ,62.0,205.9,6.9
Manhattan,170.0,6.0,1001835.0,Clocktower Building,DCAS, 69 , 208.4 ,8.2,73,196.1,7.8,78, 181.5 , 7.0 ,72.0,201.4,8.5
Manhattan,155.0,1.0,1001672.0,Court Square Building,DCAS, 77 , 185.7 ,5.4,80,174.5,5.3,86, 153.0 , 4.6 ,87.0,152.1,4.8
Manhattan,197.0,17.0,1002358.0,Excelsior Building,DCAS, 54 , 213.1 ,6.5,57,200.6,6.4,63, 186.7 , 6.0 ,61.0,193.7,6.1
Manhattan,1769.0,45.0,1054382.0,Harlem Courthouse,DCAS, 35 , 231.7 ,9.2,40,214.9,9.1,52, 187.2 , 7.9 ,47.0,201.1,8.2
Manhattan,168.0,32.0,1001831.0,Health Building,DCAS, 81 , 172.0 ,6.5,83,162.7,6.6,86, 152.9 , 6.2 ,84.0,163.5,6.6
Manhattan,134.0,7501.0,1082757.0,Home Life Building,DCAS, 85 , 159.6 ,6.5,84,162.2,7.0,89, 143.2 , 5.9 ,92.0,132.8,5.9
Queens,83.0,1.0,4000698.0,Long Island City Courthouse,DCAS, 68 , 179.8 ,6.7,64,185.5,7.2,71, 169.3 , 6.4 ,61.0,194.1,7.5
Manhattan,166.0,27.0,1001830.0,Louis J. Lefkowitz Building,DCAS, 82 , 170.1 ,6.9,84,160.1,6.5,87, 151.2 , 5.9 ,85.0,159.6,6.6
Manhattan,855.0,1.0,1016743.0,Manhattan Appellate Court,DCAS, 11 , 354.9 ,13.8,11,348.5,13.2,13, 337.7 , 13.0 ,15.0,331.3,13.1
Manhattan,169.0,10.0,1001833.0,Manhattan Civil Court,DCAS, 84 , 157.4 ,6.1,91,132.7,4.8,92, 124.9 , 4.4 ,91.0,132.9,4.9
Manhattan,167.0,1.0,1079000.0,Manhattan Criminal Court,DCAS, 63 , 224.2 ,8.0,62,221.4,8.1,70, 198.5 , 7.0 ,64.0,220.0,8.1
Manhattan,171.0,31.0,1001842.0,Manhattan Family Court,DCAS, 79 , 179.5 ,6.5,80,174.1,6.2,81, 169.8 , 6.2 ,87.0,153.1,5.6
Manhattan,121.0,1.0,1001394.0,Manhattan Municipal Building,DCAS, 88 , 150.0 ,5.4,88,147.4,5.3,90, 137.0 , 4.8 ,90.0,140.1,5.3
Manhattan,160.0,21.0,1085748.0,Manhattan Supreme Court,DCAS, 47 , 265.5 ,10.9,50,254.2,10.5,56, 236.4 , 9.3 ,53.0,248.3,10.5
Manhattan,153.0,24.0,1001670.0,Manhattan Surrogate's Court,DCAS, 53 , 249.1 ,10.5,59,229.6,9.3,61, 222.7 , 9.1 ,61.0,226.3,9.8
Brooklyn,85.0,6.0,3000172.0,OEM Headquarters,DCAS, 2 , 517.9 ,14.5,1,522.3,14.8,1, 544.1 , 15.2 ,2.0,488.1,14.0
Brooklyn,140.0,7503.0,3392969.0,Office Building,DCAS, 78 , 181.8 ,5.9,77,182.7,6.1,84, 158.4 , 5.1 ,87.0,153.7,5.1
Queens,2274.0,2.0,4052812.0,Queens Borough Hall,DCAS, 68 , 208.5 ,6.5,68,206.6,6.5,72, 194.6 , 6.0 ,6.0,477.8,20.5
Queens,9680.0,1.0,4448759.0,Queens Civil Court,DCAS, 63 , 234.9 ,7.0,69,219.0,6.6,70, 211.7 , 6.2 ,69.0,217.1,6.6
Queens,9653.0,1.0,4206522.0,Queens Criminal Court,DCAS, 57 , 238.5 ,7.9,54,244.0,8.1,58, 230.0 , 7.5 ,80.0,173.7,4.8
Brooklyn,311.0,1.0,3255627.0,K029,DOE, 88 , 91.4 ,3.6,87,92.0,3.7,75, 109.5 , 4.7 ,71.0,116.0,4.9
Queens,9653.0,1.0,4206522.0,Queens Criminal Court (Annex),DCAS, 74 , 192.7 ,5.5,72,195.1,5.6,75, 186.0 , 5.2 ,74.0,191.8,5.6
Queens,10093.0,1.0,4438731.0,Queens Family Court,DCAS, 39 , 289.1 ,8.7,38,291.5,8.7,40, 279.7 , 8.4 ,41.0,282.5,8.5
Queens,9691.0,1.0,4207071.0,Queens Supreme Court,DCAS, 74 , 191.4 ,6.5,74,189.1,6.6,83, 161.6 , 5.3 ,80.0,174.8,6.1
Staten Island,7.0,1.0,5000063.0,Staten Island Borough Hall,DCAS, 57 , 214.1 ,7.9,58,210.0,8.0,66, 189.3 , 6.9 ,56.0,215.8,8.4
Staten Island,159.0,65.0,5004530.0,Staten Island Civil Court,DCAS, 37 , 215.1 ,7.1,41,203.4,6.6,47, 185.5 , 6.0 ,51.0,183.6,6.2
Staten Island,542.0,9.0,5014078.0,Staten Island Criminal Court,DCAS, 29 , 244.6 ,7.7,17,281.7,9.3,24, 250.7 , 7.8 ,25.0,254.2,8.3
Staten Island,9.0,22.0,5000090.0,Staten Island Family Court,DCAS, 20 , 247.1 ,8.0,28,221.0,6.7,35, 198.9 , 5.9 ,32.0,212.0,6.6
Staten Island,7.0,12.0,5000064.0,Staten Island Supreme Court,DCAS, 4 , 386.8 ,12.4,3,393.5,12.8,4, 365.3 , 11.5 ,4.0,385.2,12.8
Staten Island,523.0,1.0,5013729.0,Staten Island Village Hall,DCAS, 58 , 147.1 ,6.1,62,138.7,5.8,75, 113.5 , 4.5 ,64.0,135.0,5.4
Manhattan,153.0,1.0,1079215.0,Sun Building,DCAS, 69 , 207.3 ,6.9,72,197.2,6.4,78, 176.7 , 5.4 ,77.0,185.0,5.8
Manhattan,122.0,1.0,1079146.0,Tweed Courthouse,DCAS, 16 , 376.3 ,14.7,19,358.7,13.9,15, 376.2 , 14.0 ,8.0,434.4,16.5
Brooklyn,5778.0,1.0,3257059.0,American Museum of Natural History Storage,DCLA, 14 , 119.1 ,3.1,43,72.2,1.9,32, 82.3 , 2.1 ,30.0,89.2,2.3
Queens,776.0,150.0,4539578.0,Bowery Bay WPCP: BIN 4539578,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Brooklyn,1000.0,1.0,3021932.0,K039,DOE, 94 , 117.0 ,4.0,91,125.7,4.3,93, 118.5 , 4.0 ,89.0,132.3,4.6
Brooklyn,2423.0,1.0,3063188.0,K019,DOE, 85 , 86.0 ,4.1,82,90.2,4.5,96, 64.0 , 2.8 ,89.0,82.9,4.2
Manhattan,1493.0,166.0,1046688.0,Metropolitan Museum of Art Offices,DCLA, 1 , 451.4 ,13.1,1,418.3,11.9,1, 424.2 , 12.1 ,1.0,412.8,12.1
Manhattan,1570.0,29.0,1050735.0,Metropolitan Museum of Art Storage,DCLA, 1 , 499.3 ,16.5,1,503.7,16.8,1, 500.1 , 17.1 ,1.0,446.2,15.3
Queens,776.0,150.0,4539576.0,Bowery Bay WPCP: BIN 4539576,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Brooklyn,2091.0,3.0,3058531.0,K020,DOE, 94 , 99.4 ,5.3,92,103.9,5.5,96, 89.9 , 4.5 ,97.0,86.6,4.5
Brooklyn,1692.0,17.0,3047914.0,K021,DOE, 39 , 134.6 ,6.9,55,115.9,5.7,59, 117.6 , 5.1 ,70.0,111.0,5.4
Queens,776.0,150.0,4539577.0,Bowery Bay WPCP: BIN 4539577,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Brooklyn,4440.0,1.0,3848583.0,26th Ward WPCP: 122-66 Flatlands Ave,DEP, 24 , 734.3 ,24.5,18,777.8,24.4,18, 733.7 , 22.4 ,21.0,709.2,21.1
