Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²) †,2011 Rating * ,2011 Source EUI (kBtu/sq.ft.),2011 GHG Emissions Intensity (kgCO2e/ft²) †,2012 Rating *,2012 Source EUI (kBtu/sq.ft.),2012 GHG Emissions Intensity (kgCO2e/ft²) †,2013 Rating *,2013 Source EUI (kBtu/sq.ft.),2013 GHG Emissions Intensity (kgCO2e/ft²) †
Brooklyn,6821.0,123.0,3184034.0,K255,DOE, 70 , 110.8 ,5.9,55,127.1,7.3,73, 105.9 , 5.9 ,57.0,124.9,7.3
Brooklyn,1748.0,20.0,3049769.0,K256,DOE, 92 , 79.5 ,3.4,89,84.8,3.9,95, 73.0 , 3.1 ,96.0,70.6,3.3
Brooklyn,3114.0,11.0,3071571.0,K257,DOE, 87 , 86.1 ,3.9,87,85.6,4.0,96, 66.1 , 2.6 ,94.0,73.0,3.2
Brooklyn,1845.0,1.0,3053075.0,K258,DOE, 91 , 85.5 ,3.8,84,97.4,4.6,92, 82.3 , 3.4 ,87.0,93.4,4.1
Brooklyn,5923.0,1.0,3148031.0,K259,DOE, 37 , 168.8 ,6.9,24,190.2,8.0,47, 152.6 , 6.0 ,35.0,171.0,7.4
Brooklyn,8158.0,40.0,3229156.0,K260,DOE, 67 , 92.1 ,4.4,49,109.7,5.7,74, 85.0 , 4.3 ,72.0,87.3,4.6
Brooklyn,188.0,14.0,3001070.0,"K261 within (K261, K982)",DOE, 94 , 89.2 ,3.6,94,88.3,3.5,98, 72.5 , 2.5 ,92.0,94.3,4.1
Brooklyn,1671.0,19.0,3046876.0,K262,DOE, 83 , 89.1 ,4.4,82,89.7,4.5,92, 73.2 , 3.3 ,88.0,81.8,4.1
Brooklyn,3542.0,1.0,3081442.0,K263,DOE, 46 , 106.7 ,5.5,44,108.8,5.7,82, 84.5 , 4.0 ,63.0,106.7,5.3
Brooklyn,2028.0,1.0,3057942.0,K265,DOE, 85 , 81.4 ,3.7,81,86.3,4.1,82, 83.9 , 4.1 ,94.0,68.9,3.1
Brooklyn,4623.0,28.0,3100292.0,"K268 within (K268, K981)",DOE, 45 , 132.9 ,5.8,59,117.2,4.8,77, 95.9 , 3.7 ,68.0,107.8,4.3
Brooklyn,4994.0,23.0,3113780.0,K269,DOE, 59 , 127.2 ,5.3,60,125.2,5.0,58, 126.8 , 5.8 ,71.0,112.0,4.3
Brooklyn,1923.0,1.0,3331567.0,K270,DOE, 73 , 107.6 ,5.5,71,109.3,6.0,83, 94.1 , 4.9 ,84.0,92.7,4.9
Brooklyn,1550.0,1.0,3042157.0,K271,DOE, 94 , 70.3 ,3.3,88,80.0,3.8,94, 67.6 , 3.0 ,94.0,69.5,3.4
Brooklyn,8329.0,250.0,3235262.0,"K272 within (K272, K922)",DOE, 73 , 111.5 ,5.3,75,108.6,5.5,85, 93.0 , 4.7 ,85.0,94.3,4.9
Brooklyn,4401.0,1.0,3097973.0,K273,DOE, 64 , 109.9 ,5.8,65,107.9,5.7,88, 80.3 , 4.2 ,90.0,77.2,4.1
Brooklyn,3241.0,37.0,3073752.0,"K274 within (K274, K876)",DOE, 84 , 87.8 ,3.9,88,84.1,3.9,96, 67.2 , 2.8 ,91.0,79.3,3.7
Brooklyn,3636.0,7.0,3082940.0,K275,DOE, 81 , 102.6 ,4.5,83,98.3,4.5,90, 84.3 , 4.0 ,88.0,87.5,4.3
Brooklyn,8034.0,1.0,3225637.0,"K276 within (K276, K923)",DOE, 53 , 128.6 ,5.4,51,130.5,5.5,70, 108.3 , 4.5 ,68.0,111.1,4.7
Brooklyn,8590.0,650.0,3242369.0,K277,DOE, 75 , 104.9 ,5.4,61,141.2,8.0,87, 101.7 , 5.4 ,81.0,112.8,6.1
Brooklyn,8496.0,100.0,3239889.0,K278,DOE, 88 , 97.9 ,4.5,90,92.8,3.8,91, 90.0 , 3.8 ,91.0,91.9,4.2
Brooklyn,8230.0,1.0,3326733.0,K279,DOE, 67 , 117.3 ,5.2,70,109.6,5.0,79, 97.1 , 4.4 ,77.0,103.2,4.7
Brooklyn,6891.0,1.0,3186626.0,K281,DOE, 94 , 75.4 ,3.0,95,72.1,3.3,99, 57.0 , 2.3 ,95.0,71.5,3.4
Brooklyn,950.0,24.0,3019597.0,K282,DOE, 74 , 97.1 ,4.3,53,119.2,5.8,70, 100.6 , 4.3 ,83.0,86.0,4.4
Brooklyn,3544.0,135.0,3081460.0,K284,DOE, 75 , 100.0 ,3.7,63,112.6,4.1,61, 112.8 , 4.2 ,73.0,102.5,3.9
Brooklyn,4744.0,1.0,3104599.0,K285,DOE, 55 , 120.3 ,5.9,66,108.2,5.0,75, 97.4 , 4.1 ,88.0,81.0,3.2
Brooklyn,7447.0,1.0,3204767.0,K286,DOE, 22 , 129.3 ,6.0,26,123.0,5.7,97, 64.9 , 1.7 ,61.0,119.3,5.9
Brooklyn,111.0,1.0,3000203.0,K287,DOE, 93 , 80.9 ,3.8,92,84.1,4.1,97, 68.8 , 3.3 ,92.0,85.3,4.6
Brooklyn,7054.0,45.0,3189538.0,K288,DOE, 38 , 147.5 ,7.2,66,114.5,5.5,72, 106.3 , 5.4 ,73.0,106.6,5.2
Brooklyn,1229.0,28.0,3031050.0,K289,DOE, 34 , 120.6 ,6.0,42,112.2,5.4,65, 89.8 , 4.4 ,69.0,87.5,4.4
Brooklyn,3949.0,18.0,3087821.0,"K290 within (K290, K948)",DOE, 8 , 215.3 ,7.8,6,222.0,8.8,74, 117.3 , 4.2 ,78.0,113.0,4.1
Brooklyn,3343.0,1.0,3076460.0,K291,DOE, 44 , 101.8 ,3.0,31,113.8,3.5,83, 108.9 , 3.4 ,86.0,103.5,3.4
Brooklyn,3740.0,1.0,3083931.0,K292,DOE, 35 , 116.7 ,5.6,30,122.1,5.8,86, 106.9 , 4.9 ,85.0,108.0,5.2
Brooklyn,402.0,1.0,3006401.0,K293,DOE, 52 , 148.2 ,7.4,74,115.6,5.7,82, 104.8 , 4.2 ,81.0,105.6,4.8
Brooklyn,3416.0,1.0,3079027.0,K296,DOE, 63 , 95.5 ,4.5,58,99.1,4.9,68, 89.1 , 4.1 ,67.0,91.6,4.4
Brooklyn,1739.0,11.0,3048508.0,K297,DOE, 85 , 87.1 ,3.2,73,103.0,3.9,78, 95.7 , 3.7 ,85.0,86.9,3.2
Brooklyn,3507.0,7.0,3080768.0,K298,DOE, 54 , 110.4 ,5.4,74,90.3,4.3,79, 83.7 , 4.0 ,81.0,82.8,4.0
Brooklyn,3358.0,1.0,3076734.0,K299,DOE, 66 , 95.5 ,3.5,68,93.4,3.4,73, 88.2 , 3.1 ,75.0,86.7,3.2
Brooklyn,3969.0,1.0,3088357.0,"K302 within (K302, K974)",DOE, 63 , 125.4 ,5.3,73,112.6,4.7,85, 95.3 , 3.6 ,79.0,104.6,4.1
Brooklyn,7250.0,25.0,3196292.0,K303,DOE, 96 , 89.7 ,3.9,96,87.0,4.0,98, 77.6 , 3.6 ,96.0,86.7,4.0
Brooklyn,1773.0,14.0,3049420.0,K304,DOE, 60 , 95.8 ,4.8,59,96.4,4.9,91, 63.0 , 2.6 ,69.0,87.8,4.4
Brooklyn,1819.0,14.0,3051458.0,K305,DOE, 90 , 98.7 ,3.5,86,105.9,4.2,96, 80.0 , 2.9 ,93.0,90.6,3.7
Brooklyn,4392.0,1.0,3097873.0,K306,DOE, 55 , 120.2 ,5.9,54,120.6,6.0,78, 106.1 , 5.2 ,80.0,103.7,5.3
Brooklyn,56.0,7.0,3000158.0,K307,DOE, 77 , 112.7 ,5.0,79,109.3,4.9,89, 92.2 , 3.7 ,75.0,115.1,5.4
Brooklyn,1630.0,1.0,3044493.0,"K308 within (K308, K946)",DOE, 71 , 92.4 ,3.9,63,100.0,4.3,72, 90.8 , 3.4 ,68.0,95.8,3.9
Brooklyn,1643.0,36.0,3045047.0,K309,DOE, 63 , 169.2 ,9.6,89,118.7,6.0,98, 88.2 , 4.0 ,89.0,119.3,6.3
Brooklyn,8393.0,1.0,3236665.0,K312,DOE, 77 , 118.4 ,5.0,66,126.9,5.9,81, 105.1 , 4.6 ,84.0,102.0,4.5
Brooklyn,140.0,10.0,3331741.0,K313,DOE, 2 , 255.3 ,7.9,6,258.4,8.1,12, 230.4 , 6.8 ,17.0,215.2,6.4
Brooklyn,862.0,12.0,3016258.0,K314,DOE, 70 , 131.2 ,4.2,69,132.7,4.3,67, 134.3 , 4.2 ,66.0,136.5,4.5
Brooklyn,1167.0,18.0,3029246.0,K316,DOE, 82 , 113.2 ,5.1,86,106.4,4.8,93, 91.9 , 4.1 ,88.0,102.3,4.7
Brooklyn,2246.0,1.0,3061328.0,K318,DOE, 72 , 110.0 ,5.1,69,112.6,5.2,66, 114.6 , 5.2 ,79.0,100.0,4.5
Brooklyn,2424.0,1.0,3063189.0,K319,DOE, 51 , 223.4 ,5.8,55,214.4,5.6,66, 192.6 , 5.0 ,57.0,211.8,5.5
Brooklyn,1301.0,1.0,3034356.0,K320,DOE, 53 , 119.9 ,5.8,42,131.8,6.6,79, 90.3 , 3.8 ,64.0,108.0,5.4
Brooklyn,971.0,28.0,3337516.0,"K321 within (K321, K896)",DOE, 83 , 115.9 ,4.8,79,121.9,5.5,91, 98.7 , 4.0 ,91.0,98.0,4.0
Brooklyn,1636.0,1.0,3044657.0,K324,DOE, 70 , 116.8 ,4.4,78,105.3,4.1,83, 98.5 , 3.8 ,81.0,102.7,3.9
Brooklyn,3520.0,8.0,3081032.0,"K327 within (K327, K396)",DOE, 61 , 119.0 ,5.3,71,106.6,5.0,86, 86.9 , 3.6 ,80.0,95.3,4.5
Brooklyn,3768.0,1.0,3084283.0,K328,DOE, 68 , 111.5 ,5.6,66,112.7,5.8,84, 89.9 , 4.4 ,87.0,93.9,5.0
Brooklyn,7051.0,1.0,3189517.0,K329,DOE, 50 , 133.9 ,6.1,52,130.6,5.7,73, 104.8 , 4.4 ,75.0,103.6,4.3
Brooklyn,3693.0,1.0,3083608.0,K332,DOE, 57 , 105.8 ,5.0,51,111.8,5.4,66, 115.1 , 5.5 ,83.0,104.7,5.2
Brooklyn,1355.0,23.0,3035887.0,K335,DOE, 33 , 113.6 ,5.1,35,111.0,5.1,54, 93.4 , 3.9 ,52.0,96.4,4.3
Brooklyn,3990.0,1.0,3088734.0,K345,DOE, 50 , 119.3 ,6.6,74,93.6,4.9,82, 84.7 , 4.3 ,85.0,80.8,4.0
Brooklyn,4452.0,25.0,3098294.0,K346,DOE, 32 , 158.2 ,8.0,69,112.1,4.8,80, 98.2 , 3.9 ,74.0,106.1,4.2
Brooklyn,3535.0,16.0,3081276.0,K356,DOE, 33 , 163.5 ,5.5,34,160.9,5.4,61, 121.2 , 4.0 ,62.0,118.7,4.1
Brooklyn,8215.0,12.0,3396940.0,K366,DOE, 8 , 295.7 ,8.7,28,225.2,6.5,39, 201.9 , 5.6 ,38.0,205.6,5.7
Brooklyn,172.0,55.0,3000567.0,K369,DOE, 91 , 97.2 ,4.0,95,87.2,3.5,92, 96.0 , 4.0 ,89.0,108.2,4.8
Brooklyn,7274.0,107.0,3196587.0,K370,DOE, 41 , 174.9 ,6.0,6,261.6,8.2,62, 138.1 , 4.3 ,51.0,151.7,5.1
Brooklyn,696.0,31.0,3337059.0,"K371 within (K371, K231)",DOE, 92 , 93.3 ,4.6,92,91.2,4.5,98, 67.7 , 2.8 ,96.0,76.8,3.7
Brooklyn,3287.0,1.0,3075074.0,K376,DOE, 54 , 146.6 ,4.6,50,150.7,4.7,60, 137.8 , 4.2 ,55.0,145.4,4.6
Brooklyn,3360.0,1.0,3076784.0,K377,DOE, 72 , 88.1 ,4.0,90,66.4,2.3,94, 60.0 , 2.1 ,88.0,69.2,2.5
Brooklyn,2236.0,9.0,3061235.0,K380,DOE, 66 , 125.5 ,5.3,61,130.0,5.5,86, 95.5 , 3.3 ,86.0,95.8,4.1
Brooklyn,3298.0,1.0,3075413.0,K383,DOE, 37 , 104.5 ,4.4,52,91.3,3.5,49, 92.8 , 3.5 ,53.0,90.9,3.2
Brooklyn,3442.0,1.0,3080043.0,K384,DOE, 75 , 99.4 ,3.4,72,102.4,3.5,85, 85.5 , 2.8 ,83.0,88.3,3.0
Brooklyn,1370.0,29.0,3036405.0,K390,DOE, 72 , 111.0 ,5.6,64,119.2,5.9,81, 97.7 , 4.3 ,66.0,117.2,5.6
Brooklyn,4806.0,1.0,3107129.0,K391,DOE, 86 , 90.8 ,3.8,91,80.6,3.0,88, 85.4 , 3.5 ,91.0,81.6,3.3
Brooklyn,5022.0,2.0,3114526.0,K395,DOE, 2 , 243.2 ,7.5,3,230.3,6.9,9, 191.6 , 5.8 ,5.0,213.7,6.6
Brooklyn,3520.0,8.0,3081032.0,"K396 within (K327, K396)",DOE, 61 , 119.0 ,5.3,71,106.6,5.0,86, 86.9 , 3.6 ,80.0,95.3,4.5
Brooklyn,4815.0,20.0,3107315.0,K397,DOE, 51 , 179.1 ,7.2,54,172.6,6.8,71, 146.1 , 5.3 ,72.0,144.7,5.2
Brooklyn,4595.0,15.0,3323072.0,K398,DOE, 68 , 95.1 ,4.4,67,95.9,4.7,85, 76.0 , 3.1 ,71.0,91.9,4.2
Brooklyn,5111.0,1.0,3117396.0,K399,DOE, 46 , 218.6 ,7.4,46,217.0,7.1,42, 224.5 , 6.9 ,44.0,221.1,7.7
Brooklyn,6883.0,1.0,3186454.0,"K400 within (K400, K401)",DOE, 91 , 105.4 ,5.5,98,81.8,3.8,97, 82.7 , 3.3 ,96.0,90.6,3.6
Brooklyn,6883.0,1.0,3186454.0,"K401 within (K400, K401)",DOE, 91 , 105.4 ,5.5,98,81.8,3.8,97, 82.7 , 3.3 ,96.0,90.6,3.6
Brooklyn,7553.0,41.0,3205788.0,K405,DOE, 100 , 58.9 ,1.6,100,57.2,1.5,100, 48.4 , 1.3 ,100.0,53.9,1.4
Brooklyn,7254.0,1.0,3196293.0,"K410 within (K410, K411)",DOE, 83 , 118.1 ,4.5,82,120.1,4.7,92, 99.2 , 3.8 ,88.0,108.2,4.3
Brooklyn,7254.0,1.0,3196293.0,"K411 within (K410, K411)",DOE, 83 , 118.1 ,4.5,82,120.1,4.7,92, 99.2 , 3.8 ,88.0,108.2,4.3
Brooklyn,4742.0,1.0,3104598.0,K415,DOE, 90 , 93.2 ,3.7,93,94.3,3.7,95, 86.0 , 3.3 ,88.0,103.7,4.3
Brooklyn,4094.0,1.0,3090738.0,"K420 within (K420, K421)",DOE, 79 , 120.9 ,6.6,93,128.2,7.2,100, 48.8 , 1.3 ,96.0,116.1,6.3
Brooklyn,4094.0,1.0,3090738.0,"K421 within (K420, K421)",DOE, 79 , 120.9 ,6.6,93,128.2,7.2,100, 48.8 , 1.3 ,96.0,116.1,6.3
Brooklyn,6788.0,1.0,3182721.0,"K425 within (K425, K426)",DOE, 63 , 153.9 ,8.3,54,164.6,9.4,79, 127.8 , 6.8 ,73.0,137.6,7.5
Brooklyn,6788.0,1.0,3182721.0,"K426 within (K425, K426)",DOE, 63 , 153.9 ,8.3,54,164.6,9.4,79, 127.8 , 6.8 ,73.0,137.6,7.5
Brooklyn,2098.0,13.0,3058752.0,K430,DOE, 92 , 142.0 ,8.2,91,143.5,8.5,98, 106.3 , 5.6 ,95.0,125.2,6.9
Brooklyn,3788.0,1.0,3084440.0,K435,DOE, 91 , 107.5 ,4.2,87,118.6,4.6,93, 103.3 , 3.9 ,92.0,105.2,4.1
Brooklyn,1187.0,1.0,3029686.0,K440,DOE, 93 , 109.6 ,3.6,66,154.3,5.7,70, 148.2 , 5.4 ,70.0,150.3,5.8
Brooklyn,6271.0,1.0,3162711.0,"K445 within (K445, K446)",DOE, 80 , 129.5 ,4.6,83,122.7,4.5,88, 110.1 , 3.8 ,74.0,132.8,4.9
Brooklyn,6271.0,1.0,3162711.0,"K446 within (K445, K446)",DOE, 80 , 129.5 ,4.6,83,122.7,4.5,88, 110.1 , 3.8 ,74.0,132.8,4.9
Brooklyn,3016.0,1.0,3325733.0,K450,DOE, 96 , 98.3 ,4.2,98,82.2,3.6,98, 82.2 , 3.5 ,97.0,88.1,3.9
Brooklyn,1701.0,1.0,3047996.0,"K455 within (K455, K456)",DOE, 87 , 127.7 ,5.5,84,129.9,5.7,94, 104.3 , 3.9 ,89.0,118.8,5.2
Brooklyn,1701.0,1.0,3047996.0,"K456 within (K455, K456)",DOE, 87 , 127.7 ,5.5,84,129.9,5.7,94, 104.3 , 3.9 ,89.0,118.8,5.2
Brooklyn,1823.0,38.0,3051641.0,K458,DOE, 89 , 104.2 ,3.6,86,108.7,3.9,91, 98.0 , 3.4 ,87.0,107.5,3.8
Brooklyn,1082.0,1.0,3025510.0,K460,DOE, 24 , 219.1 ,14.0,42,183.6,11.4,84, 118.7 , 6.3 ,75.0,136.7,6.9
Brooklyn,5103.0,10.0,3336215.0,K465,DOE, 86 , 135.1 ,5.4,84,137.4,5.4,94, 110.7 , 4.4 ,84.0,137.3,6.0
Brooklyn,4811.0,1.0,3107227.0,K470,DOE, 55 , 135.1 ,5.1,48,142.7,5.7,75, 116.2 , 4.4 ,72.0,127.3,5.1
Brooklyn,3365.0,98.0,3076908.0,"K480 within (K480, K482)",DOE, 56 , 155.0 ,5.8,70,148.5,5.7,85, 123.2 , 4.5 ,82.0,128.8,5.0
Brooklyn,3365.0,98.0,3076908.0,"K482 within (K480, K482)",DOE, 56 , 155.0 ,5.8,70,148.5,5.7,85, 123.2 , 4.5 ,82.0,128.8,5.0
Brooklyn,5850.0,30.0,3144482.0,"K485 within (K485, K977)",DOE, 26 , 210.1 ,7.3,18,228.0,8.0,25, 205.4 , 6.9 ,18.0,221.4,7.9
Brooklyn,5745.0,29.0,3142008.0,K486,DOE, 25 , 148.8 ,5.9,45,122.0,4.3,41, 122.3 , 4.6 ,36.0,127.0,4.9
Brooklyn,6013.0,1.0,3152318.0,"K490 within (K490, K934)",DOE, 76 , 150.3 ,6.4,80,140.8,6.0,87, 125.9 , 5.2 ,84.0,130.9,4.6
Brooklyn,7425.0,2.0,3203631.0,"K495 within (K495, K496)",DOE, 86 , 88.7 ,4.2,84,90.7,4.3,97, 78.2 , 3.6 ,93.0,93.0,4.6
Brooklyn,7425.0,2.0,3203631.0,"K496 within (K495, K496)",DOE, 86 , 88.7 ,4.2,84,90.7,4.3,97, 78.2 , 3.6 ,93.0,93.0,4.6
Brooklyn,8222.0,1.0,3230949.0,"K500 within (K500, K501)",DOE, 90 , 94.2 ,4.3,93,97.8,4.8,98, 77.3 , 3.5 ,91.0,102.9,5.1
Brooklyn,8222.0,1.0,3230949.0,"K501 within (K500, K501)",DOE, 90 , 94.2 ,4.3,93,97.8,4.8,98, 77.3 , 3.5 ,91.0,102.9,5.1
Brooklyn,5506.0,6.0,3131537.0,K505,DOE, 93 , 102.5 ,5.1,93,100.4,5.0,95, 92.9 , 4.4 ,93.0,102.0,5.3
Brooklyn,7998.0,5.0,3224139.0,K515,DOE, 95 , 96.2 ,5.3,87,116.1,6.4,94, 97.9 , 5.1 ,97.0,85.1,4.5
Brooklyn,169.0,9.0,3000533.0,K520,DOE, 98 , 101.1 ,4.0,98,95.8,3.6,99, 90.6 , 3.4 ,98.0,99.7,3.9
Brooklyn,5653.0,55.0,3398120.0,"K521 within (K160, K521)",DOE, 88 , 115.8 ,4.4,93,102.2,3.7,95, 87.0 , 2.8 ,43.0,156.5,5.4
Brooklyn,6734.0,109.0,3180673.0,K525,DOE, 87 , 123.7 ,5.5,87,123.5,5.5,79, 138.4 , 6.7 ,84.0,128.5,6.0
Brooklyn,7185.0,20.0,3194998.0,"K540 within (K540, K541)",DOE, 83 , 118.1 ,5.7,83,116.7,5.7,84, 114.6 , 6.1 ,74.0,129.8,8.4
Brooklyn,7185.0,20.0,3194998.0,"K541 within (K540, K541)",DOE, 83 , 118.1 ,5.7,83,116.7,5.7,84, 114.6 , 6.1 ,74.0,129.8,8.4
Brooklyn,688.0,26.0,3394175.0,K564,DOE, 7 , 239.1 ,6.4,4,253.9,7.2,6, 232.0 , 6.3 ,6.0,231.3,6.3
Brooklyn,131.0,1.0,3348041.0,K580,DOE, 53 , 163.9 ,6.9,52,161.7,7.2,92, 96.0 , 2.6 ,77.0,126.0,6.1
Brooklyn,1289.0,25.0,3348092.0,K590,DOE, 16 , 224.3 ,7.3,16,213.7,7.3,33, 179.3 , 5.9 ,23.0,197.0,6.4
Brooklyn,1188.0,1.0,3029702.0,K600,DOE, 79 , 112.0 ,5.5,84,101.4,4.8,88, 95.0 , 4.2 ,86.0,98.2,4.6
Brooklyn,2670.0,1.0,3066698.0,K610,DOE, 71 , 132.3 ,5.0,73,124.7,4.5,82, 112.1 , 4.0 ,72.0,126.9,4.8
Brooklyn,4155.0,75.0,3327249.0,K615,DOE, 41 , 172.7 ,6.8,91,94.2,5.2,80, 113.6 , 4.8 ,71.0,125.8,6.0
Brooklyn,7261.0,47.0,3196378.0,K620,DOE, 87 , 103.7 ,5.3,83,109.4,5.6,88, 99.9 , 4.8 ,87.0,101.4,4.7
Brooklyn,1216.0,46.0,3030553.0,K625,DOE, 73 , 135.9 ,4.8,72,132.8,4.6,86, 109.3 , 3.7 ,73.0,131.6,4.7
Brooklyn,2330.0,11.0,3062135.0,K650,DOE, 90 , 113.4 ,5.0,90,109.6,4.8,93, 101.9 , 4.4 ,91.0,108.9,4.9
Brooklyn,192.0,13.0,3001190.0,K655,DOE, 90 , 104.6 ,4.0,90,99.5,3.7,91, 98.3 , 3.8 ,85.0,111.9,4.8
Brooklyn,192.0,1.0,3001189.0,K656,DOE, 81 , 112.5 ,5.1,86,103.4,4.5,90, 94.6 , 3.6 ,88.0,99.9,3.9
Brooklyn,3704.0,1.0,3083660.0,K660,DOE, 18 , 210.7 ,8.5,28,187.5,7.1,50, 151.9 , 5.6 ,44.0,159.2,6.1
Brooklyn,6329.0,32.0,3165232.0,"K721 within (K128, K721)",DOE, 52 , 117.1 ,5.1,56,113.3,4.0,78, 88.5 , 3.0 ,68.0,100.4,3.6
Brooklyn,7185.0,20.0,3385667.0,K722,DOE, 77 , 111.5 ,3.4,72,116.2,3.7,89, 90.4 , 2.8 ,95.0,75.2,2.8
Brooklyn,7860.0,17.0,3345177.0,K729,DOE, 83 , 88.6 ,3.7,86,83.6,3.5,98, 58.1 , 2.0 ,86.0,83.6,3.6
Brooklyn,1844.0,1.0,3053020.0,K743,DOE, 89 , 117.2 ,5.4,98,80.2,3.6,98, 83.1 , 3.3 ,94.0,100.0,4.3
Brooklyn,998.0,1.0,3012840.0,K763,DOE, 81 , 91.1 ,5.1,76,97.1,5.4,90, 76.5 , 3.9 ,89.0,79.5,4.3
Brooklyn,2207.0,2.0,3060407.0,K778,DOE, 95 , 80.6 ,2.1,95,79.8,2.1,95, 78.1 , 2.0 ,93.0,85.8,2.2
Brooklyn,5587.0,38.0,3328583.0,K781,DOE, 82 , 144.2 ,7.2,92,118.4,5.3,98, 88.6 , 3.2 ,93.0,115.3,5.1
Brooklyn,4102.0,19.0,3397004.0,K798,DOE, 11 , 232.8 ,6.2,10,234.5,6.8,17, 210.8 , 5.8 ,5.0,265.0,8.0
Brooklyn,3157.0,37.0,3071962.0,K799,DOE, 89 , 84.6 ,4.4,92,77.6,4.4,94, 73.0 , 4.1 ,91.0,81.0,4.6
Brooklyn,266.0,20.0,3002557.0,K801,DOE, 40 , 301.2 ,10.1,43,287.5,9.4,45, 278.0 , 8.6 ,42.0,293.4,9.7
Brooklyn,154.0,1.0,3000420.0,K802,DOE, 95 , 145.9 ,4.3,95,146.0,4.2,96, 138.3 , 3.9 ,97.0,131.7,3.8
Brooklyn,397.0,11.0,3006356.0,K804,DOE, 99 , 72.1 ,2.4,94,93.4,3.6,97, 83.6 , 3.2 ,96.0,86.8,3.4
Brooklyn,120.0,20.0,3000216.0,K805,DOE, 83 , 113.9 ,3.9,84,108.8,3.7,91, 95.7 , 3.3 ,92.0,94.2,3.4
Brooklyn,174.0,1.0,3331754.0,K806,DOE, 100 , 19.2 ,1.1,100,48.9,2.5,100, 41.1 , 2.1 ,80.0,103.1,4.5
Brooklyn,6399.0,26.0,3392297.0,K807,DOE, N/A , N/A ,2.0,25,187.6,6.0,32, 172.1 , 5.3 ,30.0,177.4,5.5
Brooklyn,1454.0,54.0,3039123.0,K808,DOE, 98 , 90.2 ,3.4,99,72.0,2.5,99, 76.4 , 2.6 ,97.0,95.7,3.4
Brooklyn,1160.0,1.0,3028862.0,K813,DOE, 75 , 148.5 ,7.0,87,124.9,6.2,95, 100.3 , 4.7 ,83.0,133.7,6.3
Brooklyn,8182.0,52.0,3229624.0,K818,DOE, 25 , 204.3 ,9.4,24,204.6,9.4,33, 179.9 , 8.0 ,40.0,171.0,8.0
Brooklyn,4328.0,15.0,3097444.0,"K819 within (K819, K947)",DOE, 68 , 170.4 ,6.8,53,190.4,7.5,63, 175.5 , 6.7 ,38.0,212.5,8.4
Brooklyn,1267.0,1.0,3032886.0,K824,DOE, 4 , 313.9 ,8.5,2,332.3,9.0,16, 238.2 , 6.6 ,42.0,181.8,5.0
Brooklyn,4844.0,1.0,3107846.0,"K835 within (K235, K835, K980)",DOE, 18 , 146.0 ,5.4,21,139.6,5.2,47, 121.9 , 4.3 ,34.0,148.8,5.2
Brooklyn,2268.0,1.0,3335470.0,K837,DOE, 76 , 125.8 ,4.2,70,133.1,4.6,79, 119.1 , 3.8 ,76.0,124.7,4.2
Brooklyn,5416.0,48.0,3127692.0,"K839 within (K849, K839)",DOE, 68 , 120.3 ,4.3,65,123.0,4.4,74, 111.2 , 3.9 ,67.0,120.2,4.3
Brooklyn,1188.0,1.0,3378160.0,"K840 within (K241, K840)",DOE, 2 , 222.1 ,12.7,51,109.7,4.5,84, 95.2 , 3.9 ,66.0,120.5,5.1
Brooklyn,3434.0,28.0,3079714.0,K842,DOE, 66 , 166.1 ,4.3,79,142.6,3.7,94, 105.8 , 2.7 ,80.0,139.4,3.6
Brooklyn,4369.0,1.0,3324010.0,K843,DOE, 91 , 116.4 ,3.0,92,112.7,2.9,91, 113.6 , 2.9 ,93.0,108.5,2.8
Brooklyn,880.0,1.0,3331274.0,K845,DOE, 77 , 74.3 ,2.7,75,75.7,2.8,91, 61.7 , 2.1 ,87.0,72.6,2.7
Brooklyn,3772.0,6.0,3084298.0,K848,DOE, 5 , 250.7 ,6.5,7,228.6,5.9,22, 181.0 , 4.7 ,5.0,235.9,6.1
Brooklyn,5416.0,48.0,3127692.0,"K849 within (K849, K839)",DOE, 68 , 120.3 ,4.3,65,123.0,4.4,74, 111.2 , 3.9 ,67.0,120.2,4.3
Brooklyn,4217.0,1.0,3094749.0,K851,DOE, 49 , 129.5 ,4.6,40,140.1,5.2,75, 99.5 , 3.4 ,62.0,114.8,4.2
Brooklyn,7775.0,1.0,3215550.0,K852,DOE, 92 , 79.8 ,2.4,52,132.7,6.4,78, 100.9 , 4.6 ,66.0,116.6,5.7
Brooklyn,1868.0,28.0,3323075.0,K853,DOE, 92 , 186.1 ,4.8,75,247.0,6.4,95, 169.3 , 4.4 ,95.0,168.3,4.4
Brooklyn,1467.0,27.0,3039391.0,K854,DOE, 41 , 179.7 ,4.7,44,173.8,4.5,37, 185.3 , 4.8 ,16.0,232.1,6.0
Brooklyn,7916.0,1.0,3221964.0,K855,DOE, 88 , 86.7 ,2.9,97,64.1,1.9,94, 73.8 , 2.5 ,92.0,77.4,2.7
Brooklyn,4327.0,24.0,3097429.0,K857,DOE, 85 , 130.9 ,3.9,88,121.4,3.6,91, 113.7 , 3.3 ,92.0,111.7,3.5
